developer_name,developer_address,developer_contact_person,developer_project_developer_subsidiary_name,developer_project_project_name,developer_project_address,developer_project_contact_person,developer_project_email,developer_project_commission_rate,developer_project_sales_cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Dansalan Gardens,"Dansalan, Mandaluyong City",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Fairway Terraces,"Across Villamor Golf Club, Pasay, 1300 Metro Manila",Jane Ubie,j.ubie@gmail.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Flair Towers,"Reliance corner Pines Streets, Mandaluyong, 1550 Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Infina Towers,"993 Aurora Blvd, Project 4, Quezon City, 1102 Metro Manila",Jennifer Briones,jennifer.briones@gmail.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Kai Residences,"Dansalan St., Mandaluyong, Metro Manila",Johnny Boyega,j.boyega@amaiacorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Lumiere Residences,"Shaw Blvd, Pasig, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Mirea Residences,"Eulogio Amang Rodriguez Ave, Eastwood, Pasig, 1610 Metro Manila",Mary Caca,marycaca@yahoo.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Oak Harbor Residences,"Jackson Ave, Parañaque, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Sheridan Towers,"1550 Sheridan, Mandaluyong, 1550 Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Sorrel Residences ,"3950 Sociego, Sampaloc, Maynila, 1008 Kalakhang Maynila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,THE CELANDINE," A. Bonifacio Ave, A. Bonifacio, Quezon City, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Tivoli Garden Residences,"69 Coronado, Mandaluyong, 1550 Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Vista De Lago,"Bagong Calzada, Taguig, 1630 Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Aldea Real Cuidad de Calamba,Calamba Laguna,June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Auburn Place,Las Pinas City,Donnie Yen,d.yen@yahoo.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Belvedere Townhomes Ph. 3 ,Gen Trias Cavite,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Brentville International Laguna, ,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,South Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Crystal Aire Gen Trias Cavite,Alabang,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Fairway View,"Salawag-Salitran Rd., Brgy. Salawag, Dasmarinas, Cavite",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Futura Homes,"Arnaldo Hwy, General Trias, 4107 Cavite",June Moon,jmoon@hypermail.com,6.5,South Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Leuna De Taal la Orilla,"Brgy. Banga, Talisay, Batangas",Mary Caca,marycaca@yahoo.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Melody Plains Pabahay Series,Muzon Bualacan,June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Meridian Place,Cavite City,June Moon,jmoon@hypermail.com,6.5,Cavite Central Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Nusu Dua,"Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,One Spatial Condo,"Eulogio Amang Rodriguez Ave, Pasig, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Park Springs San Pedro ,Alabang Office,Joyce Romano,j.romano@supermail.com,5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Pineview,"Remulla Drive Tanza-Naic Road, Barangay Sahud-Ulan, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Princeton Heights,"New Molino Blvd., Brgy. Mambog 4, Bacoor City, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavite Central Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,San Pedro Homesite Village,"San Pedro, Laguna",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Sandia Homes,"San Roque, Tanauan, Batangas",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Santoso Villas,"Tanza-Trece Barangay Paradahan, Nusa Dua Road,, Nusa Dua Rd, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Santoso Villas at Nusa Dua,"Tanza-Trece Road, Barangay Paradahan, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Southern Heights,"San Pedro, Laguna",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Sping Field View,Tanza Cavite,June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Springfield View,"Remulla Drive Tanza-Naic Road, Barangay Sahud-Ulan, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Sunny Brooke1,"General Trias, Cavite",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Sunrise Place Tanza,"Tres Cruses, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,The Enclave at Filinvest Heights,Quezon City,Donnie Yen,d.yen@yahoo.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,The Linear Makati,"7428 Malugay, Makati, 12 Metro Manila",June Moon,jmoon@hypermail.com,5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,The Residences,"Paradahan, Tanza Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Valle Alegre,Calamba Laguna,June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Valle Dulce,Calamba Laguna,June Moon,jmoon@hypermail.com,6.5,South Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Verde Spatial ,"Don Mariano Marcos Ave, Quezon City, Metro Manila",Maria Jumanji,maria.j@gmail.com,5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,West Mansion Tanza,"Filwest Ave., Tanza-Trece Road, Brgy. Paradahan, Tanza, Cavite, Tanza, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Windward hills,"Congressional Ave, Burol 1, Dasmariñas, 4115 Cavite",June Moon,jmoon@hypermail.com,6.5,Others
Filinvest Land Corporation,"Filinvest Building, 79 EDSA, Highway Hills, Mandaluyong, Metro Manila",N/A,Filinvest Land Corporation,Woodsville Tanza,"Filwest Ave., Tanza-Trece Road, Brgy. Pasong Kawayan II, General Trias, Cavite",June Moon,jmoon@hypermail.com,6.5,Cavitex Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,"Carissa Homes, Inc.",Lumina Homes Calamba,"Calamba, Laguna",Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,"Carissa Homes, Inc.",Lumina Homes Tanza,"Tanza, Cavite",Carl Kurz,carl.kurz@gmail.com,5,Cavitex Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Household Development Corp.,Lumina Binangonan,"Binangonan, Rizal",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,East Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Baliwag,"Baliwag, Bulacan",Carl Kurz,carl.kurz@gmail.com,5,North Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Binangonan,"Eastridge Avenue, Bilibiran Rizal",Johnny Boyega,j.boyega@amaiacorp.com,5,East Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina CamSur,Bicol Province,Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina General Santos,General Santos City,Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina General Trias,Gen. Trias Cavite,Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Homes Baliwag,"Baliuag, Bulacan",Jane Ubie,j.ubie@gmail.com,5,North Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Homes Calamba,"Calamba, Laguna",Jane Ubie,j.ubie@gmail.com,0,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Homes Quezon,"Brgy. Isabang, Tayabas City, Quezon",Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Homes Tanza 2,"Tanza, Cavite",Johnny Boyega,j.boyega@amaiacorp.com,5,Cavitex Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Lipa,Lipa Batangas,Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Malolos,Malolos Bulacan,Carl Kurz,carl.kurz@gmail.com,5,North Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Pampanga,Mexico Pampanga,Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Pandi,"Pandi, Bulacan",Carl Kurz,carl.kurz@gmail.com,5,North Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Plaridel,"Plaridel, Bulacan",Carl Kurz,carl.kurz@gmail.com,5,North Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina San Pablo,"San Gregorio Rd, San Pablo City, Laguna",Carl Kurz,carl.kurz@gmail.com,5,Others
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Lumina Homes Inc.,Lumina Tanza,"Tanza, Cavite",Carl Kurz,carl.kurz@gmail.com,5,Cavitex Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Prima Casa Land and Houses Inc.,Lumina Homes Tanza,"Tanza, Cavite",Carl Kurz,carl.kurz@gmail.com,5,Cavitex Cluster
Lumina Homes Inc.,"3rd Level Starmall Alabang, South Super Highway, Alabang, Muntinlupa City",Carlito S Copino,Prima Casa Land and Houses Inc.,Lumina Lipa,Lipa Batangas,Carl Kurz,carl.kurz@gmail.com,5,Others
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Axis Residences,"Pioneer St, Mandaluyong",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Axis Residences Tower B, ,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,East of Galleria Condominium,"opaz Rd, Ortigas Center, Pasig City",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Escalade East Tower,"20th Ave, Cubao, Quezon City, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Gateway Graden Ridge,"Epifanio de los Santos Ave, Mandaluyong, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Sonata Private Residences,"Lourdes, Mandaluyong, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,The Pearl Place,"Ortigas Center, Pasig City",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,The Sapphire Bloc,"corner, Sapphire Rd, Ortigas Center, Pasig, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,The Trion Towers,"8th Avenue Corner, McKinley Pkwy, Taguig, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Wellington Courtyard,Tagaytay City,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
Robinsons Land Corporation,"Robinsons Land Corporation Level 2, Galleria Corporate Center EDSA corner Ortigas Avenue 1100 Quezon City",Rhea D. Valerio,Robinsons Land Corporation,Woodsville Viverde Mansions,Pasig,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro High Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Blue Residences,"Katipunan Flyover U turn, Quezon City, 1800 Metro Manila",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Breeze Residences,"Near CCP Complex Roxas Boulevard, Roxas Blvd, Pasay, Metro Manila",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Fame Residences,"Edsa, Mandaluyong",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Grace Residences,"Levi Mariano, Taguig, 1632 Metro Manila",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Jazz Residences,"Nicanor Garcia, Makati City",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Mplace South Triangle,"  Panay Ave and 1103, Mo. Ignacia Ave, Diliman, Quezon City, Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Shell Residences,"Mall of Asia, Pasay Manila",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Shore 2 Residences,"Seaside Blvd corner Sunrise Drive, Mall of Asia Complex, Seaside Blvd, Pasay,",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,SMDC Light Residences,Mandaluyong City,Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Spring Residences Bicutan,"West Service Road, Bicutan, Paranaque City",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
SM Development Corporation,"Sm Mall of Asia, Bay Bouleuard, 76, Pasay",Gerard Co.,SM Development Corporation,Trees Residences,"Quirino Highway Novaliches, Novaliches, Quezon City, 1118 Metro Manila",Gerard Koh,g.koh.smdc@gmail.com,6,Metro Mid Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,Brooklyn Heights,Guiguinto Bulacan,Joyce Romano,j.romano@supermail.com,6,North Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,Montana Heghts,"Calamba, Laguna",Jane Ubie,j.ubie@gmail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,Pasadena Homes,"Binan, Laguna",Jane Ubie,j.ubie@gmail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,Riviera Heights Extension,"Labas, Santa Rosa, Laguna",Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,The Veraneo,"Kawit, Cavite",Jane Ubie,j.ubie@gmail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Amanaland Corporation,Villa Arcadia,"Carsadang Bago, Imus, Cavite",Jane Ubie,j.ubie@gmail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Brixton Homes,"Ayala Hwy, Lipa, Batangas",Johnny Boyega,j.boyega@amaiacorp.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Brixton Homes,Lipa Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Carlton Residences,"2nd Floor, Sundrel Business Center, 25 J.P. Rizal, Sala, Cabuyao Laguna",Nicole Anne Voldemort,navoldemort@findyourhome.com,6,South Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Centennial de Calamba,Laguna,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Highland Residences,"Juan Villegas St, Santo Tomas, Batangas",Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Howard Village,Laguna,Johnny Boyega,j.boyega@amaiacorp.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Ibiza Townhomes,"San Mateo, Rizal",Johnny Boyega,j.boyega@amaiacorp.com,6,East Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Mondello Homes,"Banker's Ave, San Mateo, Rizal",Johnny Boyega,j.boyega@amaiacorp.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Morgan Residences,Brgy. San Bartolome Sto. Tomas Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,Cumberland Development Corporation,Southbrooke Village,"Leviste Hwy, Lipa, Batangas",Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Acacia Townhomes,"Kawit, Cavite",Jane Ubie,j.ubie@gmail.com,6,Cavitex Cluster
